"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
8.143836667E-1	-7.695843031E-2	3.161998443E-1	-1.492092490E-1	3.580060635E-1
8.243456667E-1	-1.811429037E-2	3.023204364E-1	7.068523586E-2	3.110018912E-1
8.343066667E-1	-1.188305083E-2	3.543610394E-1	3.820278347E-2	3.566124028E-1
8.442686667E-1	-4.852342059E-2	2.274484662E-1	-3.619017184E-2	2.353657912E-1
8.542306667E-1	-2.349620099E-3	1.661792210E-1	7.308434844E-2	1.815554356E-1
8.641916667E-1	-5.868508654E-2	2.122932507E-1	2.114353180E-2	2.212677397E-1
8.741536667E-1	-1.213405970E-1	2.074157958E-1	1.036769807E-2	2.405251379E-1
8.841156667E-1	-1.451371293E-1	2.674405525E-1	-2.271350920E-2	3.051313470E-1
8.940766667E-1	-9.415928509E-2	3.088688246E-1	2.563419342E-2	3.239182515E-1
9.040386667E-1	-4.450315833E-2	3.141854420E-1	6.979061186E-2	3.249057595E-1
9.140006667E-1	-1.234152850E-2	3.401213882E-1	-5.056204319E-2	3.440805026E-1
9.239616667E-1	1.362944033E-1	3.850796061E-1	1.034664810E-1	4.213879212E-1
9.339236667E-1	2.023127845E-1	4.533386860E-1	9.732690454E-2	5.058843281E-1
9.438856667E-1	1.155223433E-1	5.380616980E-1	-9.402907491E-3	5.504036858E-1
9.538466667E-1	-1.128454834E-2	6.170174184E-1	3.400682151E-2	6.180568740E-1
9.638086667E-1	-1.263143756E-1	6.925179825E-1	7.008297265E-2	7.074235652E-1
9.737706667E-1	-2.026014177E-1	7.632683417E-1	3.655503809E-2	7.905454868E-1
9.837326667E-1	-2.177299005E-1	8.332363435E-1	1.829535306E-2	8.614080529E-1
9.936936667E-1	-1.871299591E-1	9.845736866E-1	-1.291492063E-1	1.010486261E0
1.003655667E0	-1.321617466E-1	1.210861371E0	-1.224202305E-1	1.224188997E0
1.013617667E0	-4.522521181E-2	1.439600135E0	-5.581284285E-2	1.441391322E0
1.023578250E0	-5.035067091E-3	1.559878384E0	-7.078054547E-2	1.561491534E0
1.033540250E0	2.061670498E-1	1.657498819E0	2.202184206E-1	1.684726488E0
1.043502250E0	2.146132249E-1	1.670808544E0	-3.405026633E-1	1.718604693E0
1.053463250E0	1.929277293E-1	1.628686371E0	-1.123881626E-1	1.643919555E0
1.063425250E0	3.040091671E-1	1.752593549E0	7.703028345E-1	1.938394227E0
1.073387250E0	-7.185478406E-2	1.689138834E0	-1.727396142E-1	1.699468177E0
1.083348250E0	-5.848847391E-1	1.288675167E0	-1.905420470E-1	1.427963625E0
1.093310250E0	-3.021974804E-1	1.012322453E0	8.281879306E-2	1.059707043E0
1.103272250E0	-4.592479553E-1	1.281966802E0	-2.596456110E-1	1.386276816E0
1.113233250E0	-1.651213501E-1	1.775234260E0	-6.157533234E-1	1.886232725E0
1.123195250E0	-1.347363853E-1	1.174596793E0	1.549346087E0	1.948924015E0
1.133157250E0	-6.625095419E-2	1.340166625E0	7.610659879E-1	1.542613759E0
1.143118250E0	2.191218027E-2	1.916821371E0	-2.294191899E0	2.989648939E0
1.153080250E0	2.118272185E-2	1.689243937E0	-1.083451638E0	2.006953223E0
1.163042250E0	1.038591946E-1	1.767212173E0	2.776293660E0	3.292663372E0
1.173003250E0	-5.668755433E-2	1.743768639E0	9.920163882E-1	2.006997523E0
1.182965250E0	-9.737107842E-2	2.351030051E0	-2.497947484E0	3.431700024E0
1.192927250E0	-1.782240924E-2	2.117724538E0	-1.009137036E0	2.345939559E0
1.202889250E0	-6.650631306E-2	1.914808760E0	1.922866223E0	2.714466833E0
1.212850250E0	-9.856320692E-2	2.109859302E0	9.022025710E-1	2.296778279E0
1.222812250E0	5.443067070E-1	2.551483128E0	-4.306953800E-1	2.644207718E0
1.232774250E0	-9.902901439E-1	2.331913018E0	-9.885887504E-1	2.719522129E0
1.242735250E0	8.026684888E-1	2.560612386E0	-1.667376813E0	3.159297063E0
1.252697250E0	-3.538965147E-1	1.659001846E0	2.841000702E0	3.308899342E0
1.262659250E0	-4.525219579E-3	2.546326469E0	2.544439280E-1	2.559011660E0
1.272620250E0	7.599419338E-1	3.049273846E0	-2.164163271E0	3.815650062E0
1.282582250E0	-7.276300009E-1	2.162588324E0	-2.246126032E-1	2.292746060E0
1.292544250E0	-3.842736771E-1	1.036117258E0	1.715725100E0	2.040813037E0
1.302505250E0	5.917221076E-1	3.209974920E0	2.417970437E0	4.062099836E0
1.312467250E0	2.957324333E-1	2.818653814E0	-1.948296348E0	3.439204218E0
1.322429250E0	-6.927576452E-1	1.358141989E0	-8.993257409E-1	1.770098756E0
1.332390250E0	-8.574068327E-2	2.212835494E0	1.117125168E0	2.480314704E0
1.342352250E0	1.926654817E-2	2.820979251E0	1.296887289E0	3.104869043E0
1.352314250E0	9.197548161E-1	2.257291436E0	-1.322989259E0	2.773375945E0
1.362276250E0	-1.053671988E0	2.664836959E0	-9.896582061E-1	3.031666875E0
1.372237250E0	5.638834591E-2	1.911917019E0	-1.419245539E0	2.381777536E0
1.382199250E0	6.464237968E-1	2.101471033E0	2.725134616E0	3.501485813E0
1.392161250E0	6.125235682E-2	2.160884737E0	1.023731686E0	2.391903272E0
1.402122250E0	2.116728611E-2	2.495600411E0	-3.482860674E0	4.284715620E0
1.412084250E0	4.280801762E-1	2.117623820E0	7.508894938E-1	2.287229397E0
1.422046250E0	3.890889688E-1	1.852813217E0	1.457548310E0	2.389299922E0
1.432007250E0	3.105452213E-1	2.442952520E0	1.007219149E0	2.660628829E0
1.441969250E0	-1.705829053E-1	1.821986989E0	-1.563638436E0	2.407010651E0
1.451931250E0	-6.749982626E-1	2.374607048E0	-2.935124502E0	3.835275365E0
1.461892250E0	1.185891787E0	2.492316907E0	2.871694492E0	3.983040566E0
1.471854250E0	2.659418198E-1	1.241159815E0	2.308656156E0	2.634595981E0
1.481816250E0	-8.603432313E-1	1.104942348E0	-2.231193997E0	2.634257907E0
1.491777250E0	-4.894204286E-1	2.323239112E0	-3.832581473E0	4.508398061E0
1.501739250E0	6.421420269E-1	1.747669462E0	3.509459658E0	3.972782655E0
1.511701250E0	-9.780356956E-1	8.990747492E-1	3.236360189E0	3.498416284E0
1.521662250E0	-2.206828723E-1	1.382002283E0	-5.805550148E0	5.971854298E0
1.531624250E0	6.868624824E-1	2.507193101E0	6.006382710E-1	2.668063651E0
1.541586250E0	-8.210062341E-1	4.394683231E-1	4.438446570E0	4.535084519E0
1.551547250E0	-9.944900528E-1	7.764193875E-1	4.292119414E-1	1.332689169E0
1.561509250E0	3.807579290E-1	2.016200941E0	-4.030915520E0	4.523087746E0
1.571471250E0	9.382648716E-2	2.627242286E0	-1.940537678E0	3.267551364E0
1.581433250E0	-2.356232903E0	5.183474084E-1	3.534743603E0	4.279594592E0
1.591394250E0	-1.757556994E-1	1.155408424E0	1.056194258E-1	1.173462465E0
1.601356250E0	1.732840083E-1	2.011698146E0	-2.093766888E0	2.908748281E0
1.611318250E0	-8.349120824E-1	1.461924658E0	6.804989576E-1	1.815869137E0
1.621279250E0	-2.609233921E-1	1.853374696E0	4.697005184E0	5.056178050E0
1.631241250E0	-1.710998723E-1	2.617237992E0	1.100726652E0	2.844434748E0
1.641203250E0	-1.528429646E-1	1.361681747E0	-7.181066115E0	7.310625739E0
1.651164250E0	-6.051336469E-1	2.018670074E0	1.560475093E0	2.622269649E0
1.661126250E0	-1.260898553E0	2.126452092E0	3.007290838E0	3.893001650E0
1.671088250E0	1.932104604E-1	2.297187427E0	-1.775125794E0	2.909548409E0
1.681049250E0	2.892434401E-2	1.348907189E0	-2.859042286E0	3.161409498E0
1.691011250E0	-7.476276246E-1	5.655245715E-1	1.684704452E0	1.927950776E0
1.700973250E0	-9.500318449E-2	1.428278719E-1	2.435346608E0	2.441380451E0
1.710934250E0	5.039029950E-1	5.939891097E-1	-2.961229396E0	3.061963558E0
1.720896250E0	-2.430251929E-1	-1.193517488E-1	-1.766154411E0	1.786786918E0
1.730858250E0	-2.204294320E-1	-9.960006809E-1	4.000017078E0	4.128043497E0
1.740819250E0	-2.966340375E-1	-2.358559949E-1	1.537836428E0	1.583843642E0
1.750781250E0	5.882258016E-1	1.650037297E-1	-4.864698066E0	4.902909656E0
1.760743250E0	2.479869391E-1	-9.368360679E-1	-9.241331381E-1	1.339097232E0
1.770704250E0	-1.424267566E0	-8.293339118E-1	6.028790994E0	6.250012295E0
1.780666250E0	6.108172319E-2	-3.359861277E-1	-3.395384574E-1	4.815641380E-1
1.790628250E0	-1.359901562E-2	4.443823596E-1	-4.926291466E0	4.946312589E0
1.800589250E0	2.527138465E-1	-1.207744038E-1	-1.234122691E0	1.265507630E0
1.810551250E0	-1.005291541E0	-1.047459395E0	5.967500480E0	6.141566921E0
1.820513250E0	-1.417517102E-1	-3.161077506E-1	-2.077313992E0	2.106003580E0
1.830475250E0	-1.572665751E-2	8.090351930E-2	-5.000609577E0	5.001288719E0
1.840436250E0	2.351578922E-1	1.734972307E-1	3.029870446E0	3.043930919E0
1.850398250E0	-6.335299554E-1	-1.098571149E0	6.097575885E0	6.228053504E0
1.860360250E0	2.331533935E-1	5.292348234E-2	-3.582935185E0	3.590903221E0
1.870321250E0	-3.749577743E-2	-2.959496391E-1	-4.831317481E0	4.840518642E0
1.880283250E0	-2.513485948E-1	-1.259448590E0	3.935320560E0	4.139581474E0
1.890245250E0	-1.936570963E-1	-4.201710862E-1	6.216329911E0	6.233522630E0
1.900206250E0	6.550238085E-1	1.771856634E-2	-5.520782560E0	5.559533272E0
1.910168250E0	6.783663685E-2	4.429950164E-2	-5.462113352E0	5.462714208E0
1.920130250E0	-6.244639937E-1	-7.221841235E-1	4.024738521E0	4.136426640E0
1.930091250E0	1.148237563E-1	-1.008164790E0	5.042292039E0	5.143373382E0
1.940053250E0	-4.075626254E-1	6.435103850E-2	-4.972665734E0	4.989754788E0
1.950015250E0	4.141395736E-1	-1.501893520E-1	-4.975952454E0	4.995415023E0
1.959976250E0	2.190405356E-1	-1.656937559E-1	6.714271195E0	6.719886223E0
1.969938250E0	-1.249685293E-1	-1.306274409E0	7.045829957E0	7.166986099E0
1.979900250E0	1.681418024E-1	-4.290078004E-1	-6.502451715E0	6.518757371E0
1.989861250E0	1.314388937E-1	-1.350814076E-1	-5.954352431E0	5.957334642E0
1.999823250E0	-8.034989396E-1	-3.223243641E-1	4.250167980E0	4.337445262E0
2.009785250E0	-1.283086233E-1	-2.542329897E-1	5.211663072E0	5.219437661E0
2.019746250E0	-1.917600586E-1	-1.003498968E-1	-5.031705655E0	5.036358190E0
